"term","nbin","mean","mean.lower","mean.upper","type","N"
"x",5,0.497980648987482,0.493789786696075,0.502374880200949,"unif",1000
"x2",5,0.346944014887016,0.341942908371482,0.352122742513086,"unif",1000
"x3",5,0.271540457537974,0.26548158908792,0.277574441078534,"unif",1000
"rcs.2.same",5,0.250136800060102,0.245021614922608,0.254682972624124,"unif",1000
"rcs.3.same",5,0.0495714013973127,0.0481053318546742,0.051063142105648,"unif",1000
"rcs.2.diff",5,0.467933046577559,0.462755951365839,0.473526819082492,"unif",1000
"rcs.3.diff",5,0.168275046122273,0.166305874196238,0.170369254001418,"unif",1000
"x",10,0.497068487027462,0.495205881564615,0.499021478677893,"unif",1000
"x2",10,0.333666650428193,0.331420272727431,0.335856013901558,"unif",1000
"x3",10,0.252146300332648,0.249496026297543,0.254728715901012,"unif",1000
"rcs.2.same",10,0.236806287443107,0.234600266798675,0.238939712877615,"unif",1000
"rcs.3.same",10,0.0452652357418472,0.0446333355059727,0.0458798976047567,"unif",1000
"rcs.2.diff",10,0.458663676932431,0.456375728611606,0.461233804194522,"unif",1000
"rcs.3.diff",10,0.164736093688904,0.163862313719943,0.165733173910184,"unif",1000
"x",20,0.496368964356228,0.495486677558037,0.497294065664326,"unif",1000
"x2",20,0.329240545330629,0.328165211502623,0.33028687614333,"unif",1000
"x3",20,0.245860004300598,0.244647161944001,0.247097733783651,"unif",1000
"rcs.2.same",20,0.232119114036718,0.23108193814582,0.233128129595879,"unif",1000
"rcs.3.same",20,0.0437980677854541,0.0434953591474337,0.044095892927888,"unif",1000
"rcs.2.diff",20,0.455144204996321,0.454026907588597,0.456366330951957,"unif",1000
"rcs.3.diff",20,0.163330315492327,0.162904697430504,0.163806030782279,"unif",1000
"x",30,0.497598610613883,0.497020560642655,0.498204711470913,"unif",1000
"x2",30,0.33071083862191,0.329996582940747,0.331383596435542,"unif",1000
"x3",30,0.247672930654032,0.246875128813457,0.248472146101299,"unif",1000
"rcs.2.same",30,0.233768519012801,0.233086111987377,0.234421338330556,"unif",1000
"rcs.3.same",30,0.0443391507697427,0.0441423995608497,0.0445320405726454,"unif",1000
"rcs.2.diff",30,0.456491193774717,0.455771825911499,0.457292494036896,"unif",1000
"rcs.3.diff",30,0.163840790423134,0.16357060889028,0.164153639793009,"unif",1000
"x",40,0.497506095769411,0.497076263739524,0.49795678615028,"unif",1000
"x2",40,0.330188384030763,0.329661724168622,0.330690228437136,"unif",1000
"x3",40,0.246869999882298,0.24627295779937,0.247464193274224,"unif",1000
"rcs.2.same",40,0.233194074211208,0.232687677177899,0.233683069464741,"unif",1000
"rcs.3.same",40,0.0441431200435253,0.0439961444784422,0.044289795101111,"unif",1000
"rcs.2.diff",40,0.456121238331009,0.455585468365343,0.45672758886623,"unif",1000
"rcs.3.diff",40,0.163695483919554,0.163491127005665,0.163923850670614,"unif",1000
"x",50,0.497532888141368,0.497190776933906,0.497891600893487,"unif",1000
"x2",50,0.330308867926318,0.329888161878484,0.330705749711316,"unif",1000
"x3",50,0.246927688716021,0.246453082490612,0.24741062165263,"unif",1000
"rcs.2.same",50,0.233291775751244,0.232888739341889,0.233684618629058,"unif",1000
"rcs.3.same",50,0.0441439974488336,0.0440251757016038,0.0442599089132716,"unif",1000
"rcs.2.diff",50,0.456359032304627,0.455931635398591,0.456835201416821,"unif",1000
"rcs.3.diff",50,0.163790661456841,0.163629472047973,0.163973615534559,"unif",1000
"x",60,0.497025732005111,0.496741605748066,0.497323645985685,"unif",1000
"x2",60,0.329675732637634,0.329325210693912,0.330004958014867,"unif",1000
"x3",60,0.246277964834725,0.245885251989213,0.246672456477025,"unif",1000
"rcs.2.same",60,0.232678932015521,0.232345478548812,0.233004289555942,"unif",1000
"rcs.3.same",60,0.0439904045023155,0.043893321740197,0.0440863821432024,"unif",1000
"rcs.2.diff",60,0.45568946081868,0.455338131827591,0.456087854049017,"unif",1000
"rcs.3.diff",60,0.163536172927789,0.16340243318259,0.16368778037507,"unif",1000
"x",70,0.497172285926624,0.496929337387992,0.497427023967984,"unif",1000
"x2",70,0.329765641227856,0.329468176424217,0.330049580267714,"unif",1000
"x3",70,0.246317056202107,0.245980793057981,0.246661395237906,"unif",1000
"rcs.2.same",70,0.232740858886977,0.2324558068237,0.233017662205836,"unif",1000
"rcs.3.same",70,0.043987286037181,0.0439039791997237,0.0440688028429184,"unif",1000
"rcs.2.diff",70,0.455827745559407,0.455526534151351,0.456166063206245,"unif",1000
"rcs.3.diff",70,0.163587872463558,0.163474075367327,0.163717689056738,"unif",1000
"x",80,0.497281737589526,0.497069542030467,0.497504230309195,"unif",1000
"x2",80,0.32978451957843,0.329523759688034,0.330030586621305,"unif",1000
"x3",80,0.246281477461813,0.245988108219992,0.246578895096009,"unif",1000
"rcs.2.same",80,0.232763547551157,0.232513981429061,0.233005281680268,"unif",1000
"rcs.3.same",80,0.0439887150441276,0.0439158390599846,0.0440606882400922,"unif",1000
"rcs.2.diff",80,0.45588015800086,0.455618233423473,0.456175857719891,"unif",1000
"rcs.3.diff",80,0.163605224231161,0.163505486379304,0.163718386292431,"unif",1000
"x",90,0.497142112658768,0.496953759297357,0.497339606196452,"unif",1000
"x2",90,0.329682967355542,0.329451923470503,0.3299028476375,"unif",1000
"x3",90,0.246219426964038,0.245959101212322,0.246484684039696,"unif",1000
"rcs.2.same",90,0.232681645417311,0.23246000099802,0.232896255518948,"unif",1000
"rcs.3.same",90,0.0439705344209035,0.0439061359821144,0.0440338087474525,"unif",1000
"rcs.2.diff",90,0.455725761074677,0.455490929083748,0.45598988855832,"unif",1000
"rcs.3.diff",90,0.163549394828016,0.163460510832366,0.163650118382949,"unif",1000
"x",100,0.497121507437355,0.496952179668005,0.497299052132849,"unif",1000
"x2",100,0.329677888432894,0.329470480816314,0.329875451276027,"unif",1000
"x3",100,0.246240987706194,0.24600672278206,0.246478295634546,"unif",1000
"rcs.2.same",100,0.23269060846229,0.23249215881006,0.23288416951988,"unif",1000
"rcs.3.same",100,0.0439834149736428,0.0439253769388691,0.0440408701093062,"unif",1000
"rcs.2.diff",100,0.455680834546651,0.455470622324675,0.455917847432603,"unif",1000
"rcs.3.diff",100,0.16352854231086,0.163448979823664,0.163619094363745,"unif",1000
"x",5,5.00142362636017,4.94940052720175,5.05597123738809,"norm",1000
"x2",5,30.3827393801728,29.7874041419874,30.9664293412432,"norm",1000
"x3",5,206.233733378891,199.88772100397,212.598923637575,"norm",1000
"rcs.2.same",5,1.81583715219744,1.75728465412158,1.87382876483288,"norm",1000
"rcs.3.same",5,0.193958554558023,0.184856145958142,0.202816417632588,"norm",1000
"rcs.2.diff",5,6.82812636725123,6.75379198457246,6.90744997670969,"norm",1000
"rcs.3.diff",5,2.61248879077588,2.58388644523841,2.64297736343071,"norm",1000
"x",10,5.02695696132177,5.00383558391802,5.05120034400085,"norm",1000
"x2",10,29.681642894098,29.4195017463692,29.9584655898328,"norm",1000
"x3",10,193.711896543809,190.843439135086,196.557748792092,"norm",1000
"rcs.2.same",10,1.70471402716891,1.67900799992468,1.73141423338349,"norm",1000
"rcs.3.same",10,0.17054180637901,0.16618674540658,0.175131035970393,"norm",1000
"rcs.2.diff",10,6.8477874976662,6.81574663868487,6.88345305476155,"norm",1000
"rcs.3.diff",10,2.61995599043097,2.60762572179277,2.63369151180859,"norm",1000
"x",20,5.02008637304178,5.00913414164001,5.0315700806266,"norm",1000
"x2",20,29.2918601686081,29.1723484042692,29.4199813561279,"norm",1000
"x3",20,188.48146694877,187.20385927787,189.802954576662,"norm",1000
"rcs.2.same",20,1.65408383644337,1.64193570991385,1.66611603605971,"norm",1000
"rcs.3.same",20,0.160997906633923,0.158982875898007,0.163091063418151,"norm",1000
"rcs.2.diff",20,6.83548473814002,6.82030447794297,6.85230295981186,"norm",1000
"rcs.3.diff",20,2.61518672155472,2.60935437927758,2.62164160781917,"norm",1000
"x",30,5.02351287264475,5.01633727276082,5.03103668106239,"norm",1000
"x2",30,29.2889392798751,29.2081606448223,29.3738912324345,"norm",1000
"x3",30,188.130254460411,187.290408874743,189.000165425153,"norm",1000
"rcs.2.same",30,1.64971021691454,1.64167903520754,1.65768925978621,"norm",1000
"rcs.3.same",30,0.159497488463413,0.15818647501693,0.160827371702205,"norm",1000
"rcs.2.diff",30,6.84045276523666,6.83063304137803,6.85156189414227,"norm",1000
"rcs.3.diff",30,2.61710900681586,2.61333370391136,2.62137333215643,"norm",1000
"x",40,5.02359241206665,5.01825670958887,5.02918703883874,"norm",1000
"x2",40,29.27006517345,29.2106851784266,29.332676635557,"norm",1000
"x3",40,187.913894518406,187.295178059332,188.553881972725,"norm",1000
"rcs.2.same",40,1.64678194422058,1.64085190375338,1.65266670969961,"norm",1000
"rcs.3.same",40,0.159073301619547,0.158075768023372,0.160081789176676,"norm",1000
"rcs.2.diff",40,6.84020417293745,6.83286408968948,6.8484412625601,"norm",1000
"rcs.3.diff",40,2.61699798402222,2.61417722918551,2.6201692990117,"norm",1000
