"type","term","mean","N"
"unif","x",0.497277802010998,1000
"unif","x2",0.329849563026913,1000
"unif","x3",0.246413719888838,1000
"unif","rcs.2.same",0.232850494300772,1000
"unif","rcs.3.same",0.044022580054229,1000
"unif","rcs.2.diff",0.455901885835744,1000
"unif","rcs.3.diff",0.163614208917482,1000
"norm","x",5.02386603502061,1000
"norm","x2",29.2473554964929,1000
"norm","x3",187.553986650936,1000
"norm","rcs.2.same",1.6432700719146,1000
"norm","rcs.3.same",0.158371835501928,1000
"norm","rcs.2.diff",6.84088444888424,1000
"norm","rcs.3.diff",2.61726081448949,1000
"skew","x",0.830598674290626,1000
"skew","x2",0.701002995532417,1000
"skew","x3",0.599650386592156,1000
"skew","rcs.2.same",0.124078521201002,1000
"skew","rcs.3.same",0.00582853552980323,1000
"skew","rcs.2.diff",0.897114123880764,1000
"skew","rcs.3.diff",0.330801273573375,1000
"double","x",8.48295120518233,1000
"double","x2",88.8201446918793,1000
"double","x3",1039.67972726378,1000
"double","rcs.2.same",3.46736642110196,1000
"double","rcs.3.same",0.947860355479658,1000
"double","rcs.2.diff",11.7398912469052,1000
"double","rcs.3.diff",4.50171407182233,1000
