"shift","Dxy","C (ROC)","R2","D","D:Chi-sq","D:p","U","U:Chi-sq","U:p","Q","Brier","Intercept","Slope","Emax","E90","Eavg","S:z","S:p","type_shift","model","alpha","drift","slope","ncase.dev","ncase.ext"
-2,0.247395937135999,0.623697968567999,-0.061492132068213,-0.0366087520911926,-365.087520911926,1,0.0638707278075592,640.707278075592,0,-0.100479479898752,0.154965217830751,-0.98982539574875,0.452076174745179,0.51124783078379,0.219967421525666,0.0833235724056466,-1.5828558607123,0.113454321176846,"other","correct",0.1,-2,0.5,5119,1752
-1.5,0.247395937135999,0.623697968567999,-0.257970012597604,-0.145057678369201,-1449.57678369201,1,0.172319654085568,1725.19654085568,0,-0.317377332454769,0.180207519743307,-1.21586348312134,0.452076174745172,0.575648353082228,0.342962728890811,0.155646848992663,-2.5112143598437,0.0120316612186546,"other","correct",0.1,-2,0.5,5119,1752
-1,0.247395937135999,0.623697968567999,-0.682093673190787,-0.345427159875778,-3453.27159875778,1,0.372689135592145,3728.89135592145,0,-0.718116295467924,0.224442837266977,-1.44190157049393,0.452076174745172,0.621908549955894,0.454326270024517,0.249873497740663,13.7237359126732,7.31945770744335e-43,"other","correct",0.1,-2,0.5,5119,1752
-0.5,0.247395937135999,0.623697968567999,-1.49985140475824,-0.645598777664516,-6454.98777664516,1,0.672860753380882,6730.60753380882,0,-1.3184595310454,0.287275628401835,-1.66793965786651,0.452076174745169,0.654101261585624,0.545171436269083,0.350749064510522,48.1075473650867,0,"other","correct",0.1,-2,0.5,5119,1752
0,0.247395937135999,0.623697968567999,-3.0562851609537,-1.04674872415004,-10466.4872415004,1,1.07401069986641,10742.1069986641,0,-2.12075942401644,0.364391522658206,-1.8939777452391,0.452076174745167,0.675865508383472,0.612987070809198,0.449365281814785,93.6300364231185,0,"no","correct",0.1,-2,0.5,5119,1752
0.5,0.247395937135999,0.623697968567999,-6.08521567492793,-1.54332113912296,-15432.2113912296,1,1.57058311483932,15707.8311483932,0,-3.11390425396228,0.448763934837617,-2.12001583261168,0.452076174745166,0.690227148825449,0.660294858546132,0.539523161306393,142.980582622686,0,"other","correct",0.1,-2,0.5,5119,1752
1,0.247395937135999,0.623697968567999,-12.1817155585836,-2.12428818167763,-21241.8818167763,1,2.15155015739399,21517.5015739399,0,-4.27583833907162,0.532463227949505,-2.34605391998427,0.452076174745172,0.699512574067272,0.69174345319842,0.616723145000523,192.565692253511,0,"other","correct",0.1,-2,0.5,5119,1752
1.5,0.247395937135999,0.623697968567999,-24.8739078763674,-2.77524069352326,-27751.4069352326,1,2.80250266923962,28027.0266923962,0,-5.57774336276288,0.608453803625723,-2.5720920073568,0.452076174745147,0.719525089295398,0.71869503370274,0.67873644647783,242.572669116052,0,"other","correct",0.1,-2,0.5,5119,1752
2,0.247395937135999,0.623697968567999,-52.0609280463326,-3.48073905075169,-34806.3905075169,1,3.50800102646806,35082.0102646806,0,-6.98874007721975,0.671984825685544,-2.79813009472946,0.452076174745175,0.757737139176436,0.755674874568612,0.725614281601203,296.428723653433,0,"other","correct",0.1,-2,0.5,5119,1752
-1.5968217447709,0.247395937135999,0.623697968567999,-0.205501376207583,-0.117228277803863,-1171.28277803863,1,0.144490253520229,1446.90253520229,0,-0.261718531324092,0.173895078696566,-1.17209267911316,0.452076174745175,0.564725316889811,0.319676615615995,0.139334776465686,-3.48078169936979,0.000499952785785112,"recalibration","correct",0.1,-2,0.5,5119,1752
